kode_kontrak,pendapatan_setahun_juta,kpr_aktif,durasi_pinjaman_bulan,jumlah_tanggungan,rata_rata_overdue,risk_rating
AGR-000001,295,YA,48,5,61 - 90 days,4
AGR-000011,271,YA,36,5,61 - 90 days,4
AGR-000030,159,TIDAK,12,0,0 - 30 days,1
AGR-000043,210,YA,12,3,46 - 60 days,3
AGR-000049,165,TIDAK,36,0,31 - 45 days,2
AGR-000063,220,TIDAK,24,5,0 - 30 days,1
AGR-000068,70,TIDAK,36,3,31 - 45 days,2
AGR-000075,88,TIDAK,48,3,31 - 45 days,2
AGR-000081,163,TIDAK,48,5,31 - 45 days,2
AGR-000094,100,TIDAK,36,6,31 - 45 days,2
AGR-000110,166,TIDAK,12,0,31 - 45 days,2
AGR-000127,163,TIDAK,36,0,31 - 45 days,2
AGR-000136,162,TIDAK,48,5,31 - 45 days,2
AGR-000142,198,TIDAK,36,4,31 - 45 days,2
AGR-000148,116,TIDAK,36,4,31 - 45 days,2
AGR-000158,90,TIDAK,36,3,31 - 45 days,2
AGR-000173,167,YA,36,3,0 - 30 days,1
AGR-000186,208,TIDAK,36,0,0 - 30 days,1
AGR-000192,121,TIDAK,12,0,0 - 30 days,1
AGR-000203,162,TIDAK,48,0,31 - 45 days,2
AGR-000211,166,TIDAK,24,5,31 - 45 days,2
AGR-000224,84,TIDAK,12,3,31 - 45 days,2
AGR-000240,156,TIDAK,24,4,0 - 30 days,1
AGR-000247,184,TIDAK,24,6,0 - 30 days,1
AGR-000262,166,TIDAK,12,0,0 - 30 days,1
AGR-000267,117,TIDAK,12,0,0 - 30 days,1
AGR-000275,140,TIDAK,12,0,31 - 45 days,2
AGR-000281,103,TIDAK,36,5,31 - 45 days,2
AGR-000294,90,TIDAK,24,6,31 - 45 days,2
AGR-000306,144,TIDAK,12,0,31 - 45 days,2
AGR-000322,178,TIDAK,12,6,31 - 45 days,2
AGR-000333,129,TIDAK,12,0,31 - 45 days,2
AGR-000352,166,TIDAK,36,1,31 - 45 days,2
AGR-000370,151,TIDAK,48,1,31 - 45 days,2
AGR-000385,174,TIDAK,24,4,31 - 45 days,2
AGR-000403,111,YA,48,6,31 - 45 days,2
AGR-000415,123,TIDAK,24,5,31 - 45 days,2
AGR-000432,155,TIDAK,12,0,31 - 45 days,2
AGR-000438,193,TIDAK,24,5,0 - 30 days,1
AGR-000454,189,TIDAK,36,3,31 - 45 days,2
AGR-000471,98,TIDAK,48,6,31 - 45 days,2
AGR-000490,204,YA,36,1,0 - 30 days,1
AGR-000506,174,TIDAK,48,3,31 - 45 days,2
AGR-000521,78,TIDAK,48,5,31 - 45 days,2
AGR-000539,91,TIDAK,48,0,0 - 30 days,1
AGR-000551,104,TIDAK,24,6,0 - 30 days,1
AGR-000562,178,TIDAK,12,0,31 - 45 days,2
AGR-000581,152,TIDAK,12,5,0 - 30 days,1
AGR-000589,166,TIDAK,36,2,0 - 30 days,1
AGR-000607,197,TIDAK,12,0,31 - 45 days,2
AGR-000616,157,TIDAK,36,4,31 - 45 days,2
AGR-000629,171,TIDAK,48,1,31 - 45 days,2
AGR-000648,186,TIDAK,12,4,31 - 45 days,2
AGR-000659,104,TIDAK,48,1,31 - 45 days,2
AGR-000675,221,TIDAK,36,2,0 - 30 days,1
AGR-000694,79,TIDAK,12,0,31 - 45 days,2
AGR-000706,162,TIDAK,36,5,31 - 45 days,2
AGR-000717,162,TIDAK,12,0,0 - 30 days,1
AGR-000732,152,TIDAK,24,3,31 - 45 days,2
AGR-000748,103,TIDAK,48,3,31 - 45 days,2
AGR-000765,122,TIDAK,48,2,31 - 45 days,2
AGR-000771,156,TIDAK,24,4,31 - 45 days,2
AGR-000780,176,TIDAK,12,5,0 - 30 days,1
AGR-000798,91,TIDAK,36,2,31 - 45 days,2
AGR-000817,137,TIDAK,24,5,31 - 45 days,2
AGR-000832,95,TIDAK,12,3,0 - 30 days,1
AGR-000843,137,TIDAK,36,0,31 - 45 days,2
AGR-000860,120,TIDAK,48,5,31 - 45 days,2
AGR-000871,229,TIDAK,36,0,0 - 30 days,1
AGR-000887,94,TIDAK,12,0,0 - 30 days,1
AGR-000903,104,TIDAK,36,3,0 - 30 days,1
AGR-000919,218,TIDAK,48,6,0 - 30 days,1
AGR-000933,155,TIDAK,12,0,0 - 30 days,1
AGR-000939,213,TIDAK,48,0,0 - 30 days,1
AGR-000953,140,TIDAK,24,3,31 - 45 days,2
AGR-000964,182,TIDAK,12,0,0 - 30 days,1
AGR-000980,192,TIDAK,48,5,0 - 30 days,1
AGR-000994,143,TIDAK,36,5,0 - 30 days,1
AGR-001008,193,TIDAK,12,0,0 - 30 days,1
AGR-001023,190,TIDAK,36,6,0 - 30 days,1
AGR-001034,93,TIDAK,24,6,31 - 45 days,2
